"Category"	"Exonic"	"Intronic"	"Intergenic"
"../Alignments/SecondPass/xxxxx_cheRNA_L/Aligned.sortedByCoord.out.bam"	222438	11527091	2275402
"Alignments/SecondPass/18858_cheRNA_L/Aligned.sortedByCoord.out.bam"	3450860	8745944	737253
"Alignments/SecondPass/18858_cytRNA_L/Aligned.sortedByCoord.out.bam"	4109343	925290	264761
"Alignments/SecondPass/18858_nucRNA_L/Aligned.sortedByCoord.out.bam"	3735793	920838	210796
"Alignments/SecondPass/18862_cheRNA_1/Aligned.sortedByCoord.out.bam"	14516975	46545832	4118652
"Alignments/SecondPass/18862_cheRNA_2/Aligned.sortedByCoord.out.bam"	13652969	48468956	3464582
"Alignments/SecondPass/18913_cheRNA_1/Aligned.sortedByCoord.out.bam"	145223	534334	46153
"Alignments/SecondPass/18913_cheRNA_2/Aligned.sortedByCoord.out.bam"	11357064	47072044	3258472
"Alignments/SecondPass/19099_cheRNA_L/Aligned.sortedByCoord.out.bam"	4485174	6925753	683836
"Alignments/SecondPass/19099_cytRNA_L/Aligned.sortedByCoord.out.bam"	2726061	560224	205536
"Alignments/SecondPass/19099_nucRNA_L/Aligned.sortedByCoord.out.bam"	4155178	602001	192458
"Alignments/SecondPass/19138_cheRNA_1/Aligned.sortedByCoord.out.bam"	13166986	38900655	3541966
"Alignments/SecondPass/19138_cheRNA_2/Aligned.sortedByCoord.out.bam"	11694743	43012382	3577897
"Alignments/SecondPass/19160_cheRNA_1/Aligned.sortedByCoord.out.bam"	13961226	54209603	4057040
"Alignments/SecondPass/19160_cheRNA_2/Aligned.sortedByCoord.out.bam"	8421116	33356461	2814303
"Alignments/SecondPass/19201_cheRNA_1/Aligned.sortedByCoord.out.bam"	11641170	44195830	3114904
"Alignments/SecondPass/19201_cheRNA_2/Aligned.sortedByCoord.out.bam"	13413971	52620382	3878624
"Alignments/SecondPass/CPE_1/Aligned.sortedByCoord.out.bam"	15415441	37076148	2902876
"Alignments/SecondPass/Mayer_NETseq/Aligned.sortedByCoord.out.bam"	4684112	2558668	742418
"Alignments/SecondPass/Mayer_chrom_RNA/Aligned.sortedByCoord.out.bam"	15385552	7492533	4172144
"Alignments/SecondPass/Mayer_cyto_RNA/Aligned.sortedByCoord.out.bam"	2758457	931721	1178800
"Alignments/SecondPass/Mayer_nucl_RNA/Aligned.sortedByCoord.out.bam"	12188692	1547253	2003113
"Alignments/SecondPass/NA18862_argonne/Aligned.sortedByCoord.out.bam"	5726914	970659	165347
"Alignments/SecondPass/NA18913_30min/Aligned.sortedByCoord.out.bam"	9252383	2545344	279062
"Alignments/SecondPass/NA18913_60min/Aligned.sortedByCoord.out.bam"	16187788	3453716	440316
"Alignments/SecondPass/NA18913_argonne/Aligned.sortedByCoord.out.bam"	5352532	466727	92338
"Alignments/SecondPass/NA19138_30min/Aligned.sortedByCoord.out.bam"	9278673	2581408	242192
"Alignments/SecondPass/NA19138_60min/Aligned.sortedByCoord.out.bam"	10512500	2275368	255116
"Alignments/SecondPass/NA19138_argonne/Aligned.sortedByCoord.out.bam"	5785086	556445	86743
"Alignments/SecondPass/NA19160_argonne/Aligned.sortedByCoord.out.bam"	5695933	742318	122102
"Alignments/SecondPass/NA19201_30min/Aligned.sortedByCoord.out.bam"	9584443	2721209	270324
"Alignments/SecondPass/NA19201_60min/Aligned.sortedByCoord.out.bam"	8878752	1671111	216553
"Alignments/SecondPass/NA19201_argonne/Aligned.sortedByCoord.out.bam"	5552430	596323	97701
"Alignments/SecondPass/SNE_1/Aligned.sortedByCoord.out.bam"	42010903	5590352	916573
"Alignments/SecondPass/Sultan_polyA_Total/Aligned.sortedByCoord.out.bam"	33804275	5775842	1860977
"Alignments/SecondPass/Sultan_rRNADepelete_cytoplasmic/Aligned.sortedByCoord.out.bam"	34299435	5772377	1637723
"Alignments/SecondPass/Sultan_rRNADepelete_nuclear/Aligned.sortedByCoord.out.bam"	15316518	35668933	4195137
"Alignments/SecondPass/Sultan_rRNADeplete_Total/Aligned.sortedByCoord.out.bam"	22281422	17229706	2110015
"Alignments/SecondPass/xxxxx_cheRNA_L/Aligned.sortedByCoord.out.bam"	3130102	10006076	791877